SEMANA;Fecha;Tipo Transferencia;Origen;Destino;Division; BULTOS; UNIDADES; BULTOS; UNIDADES
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO PLAZA DEL SOL 2-AEC;CALZADO PLASTICO;;;1;132
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO PLAZA DEL SOL 2-AEC;HOGAR;;;1;96
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO PLAZA DEL SOL 2-AEC;INTERIOR DETALLE;;;1;420
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO PLAZA DEL SOL 2-AEC;ROPA;;;1;108
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO PLAZA DEL SOL 2-AEC;VERANO;;;4;22
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO PROGRESO #2-AEC;CALZADO PLASTICO;;;1;60
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO PROGRESO #2-AEC;PACER;;;1;144
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO PROGRESO #2-AEC;ROPA;;;1;72
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO PROGRESO #2-AEC;VERANO;;;4;21
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO SPS-AEC;CALZADO PLASTICO;;;2;61
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO SPS-AEC;HOGAR;;;1;96
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO SPS-AEC;PACER;;;2;294
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO SPS-AEC;ROPA;;;3;162
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO SPS-AEC;VERANO;;;5;21
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MEGATIENDA-AEC;ACCESORIOS;;;1;3
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MEGATIENDA-AEC;BEBE;;;2;4
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MEGATIENDA-AEC;CALZADO;;;2;24
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MEGATIENDA-AEC;CUIDADO PERSONAL;;;11;132
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MEGATIENDA-AEC;DEPORTIVA;;;3;51
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MEGATIENDA-AEC;ESCOLAR;;;1;156
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MEGATIENDA-AEC;GOLOSINAS;;;3;376
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MEGATIENDA-AEC;HOGAR;;;3;116
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MEGATIENDA-AEC;INTERIOR DETALLE;;;5;2,198
